longitude,latitude,deff
-154.41,61.634,-2
-154.38,61.63,-9
-153.73,61.557,-33
-153.73,61.558,-34
-154.39,61.632,-12
-153.63,61.546,6.5
-153.51,61.532,-15
-154.43,61.636,7.8
-154.32,61.624,-32
-153.51,61.533,-11
-153.62,61.546,4.8
-153.63,61.547,1.8
-153.39,61.519,-3
-153.99,61.587,-21
-153.72,61.557,-0
-153.59,61.542,3.5
-154.36,61.629,-24
-154.02,61.591,-7
-154.45,61.64,-32
-153.44,61.526,8.2
-153.36,61.516,16
-153.51,61.533,-18
-153.39,61.52,4.3
-154.35,61.629,-24
-153.44,61.526,7.6
-154.34,61.628,-25
-154.35,61.629,-19
-153.75,61.562,-23
-154.42,61.637,-15
-153.72,61.559,-8
-153.78,61.565,-16
-154.16,61.609,-28
-153.56,61.541,-11
-153.74,61.562,-15
-153.72,61.559,-11
-154.05,61.596,3.5
-153.67,61.554,-2
-153.46,61.529,-2
-154.05,61.596,-3
-154.29,61.624,-26
-154.05,61.597,8.8
-153.65,61.551,12
-153.78,61.566,-26
-154.38,61.633,-2
-153.46,61.53,-1
-154.13,61.606,-27
-153.57,61.543,-16
-153.74,61.563,-25
-154.03,61.595,-5
-154.27,61.622,-25
-154.45,61.641,-13
-153.47,61.532,-1
-153.36,61.519,2.3
-154.15,61.608,2.5
-154.19,61.613,-15
-153.63,61.55,-2
-154.19,61.614,-11
-154.27,61.622,-29
-153.46,61.53,-23
-153.91,61.582,-38
-154.03,61.596,-2
-153.79,61.569,-8
-154.19,61.614,-14
-153.77,61.567,2.2
-153.45,61.53,-5
-153.63,61.55,-9
-154.43,61.64,-3
-154.34,61.631,-31
-153.46,61.531,-24
-154.26,61.622,-19
-153.46,61.531,-13
-153.78,61.568,-24
-154.46,61.644,-7
-154.04,61.597,-1
-153.82,61.573,-25
-154.45,61.643,-19
-154.24,61.62,10
-153.49,61.536,-12
-153.46,61.531,-18
-154.24,61.62,11
-154.31,61.627,-35
-153.94,61.587,-29
-153.47,61.533,0.4
-153.85,61.577,-27
-154.03,61.597,-4
-154,61.594,-13
-154.4,61.638,-1
-154.03,61.597,1.6
-153.48,61.535,7.4
-153.36,61.521,5.6
-153.78,61.57,-36
-153.63,61.552,-10
-153.88,61.58,-34
-153.85,61.578,-28
-153.48,61.536,1.3
-153.95,61.589,-25
-154.37,61.635,1.4
